"index","names","aic"
"1","US1NYCR0001",5.99108197370677
"1","CA00220CQHR",12.0572769799031
"1","US1COLR0222",21.1054576179341
"1","US1COLR0419",25.6560266744137
"1","US1COLR0001",26.7015546963773
"1","US1MOBR0001",29.0854841501066
"1","US1COAR0170",29.657339513619
"1","US1WYCR0007",30.2826619615772
"1","US1UTGR0006",30.9439429396241
"1","US1TXBXR361",32.1662705900371
"1","CA001110R04",32.8138785195228
"1","US1AZMR0321",33.240105242789
"1","US1TNRD0030",33.4321045834291
"1","CA003010RK0",33.6753807312894
"1","US10RMHS145",34.0927431889998
"1","US1ARSH0009",34.1260750436573
"1","US1ORMT0041",34.7067570081526
"1","US1COLR0313",34.8859959889501
"1","US1VTRT0015",35.2695259845553
"1","US1COBR0028",35.6615885216847
"1","US1COLR0698",35.8383491002591
"1","CA006136E9R",36.5431839262275
"1","US1COLR1108",37.3701037925746
"1","US1COLR0680",37.3957748084601
"1","US1CORB0010",37.6210050508829
"1","US1TXCMR037",37.8442835965602
"1","US1COLR0686",38.2736393547411
"1","US1CAOR0033",38.5576790638948
"1","US1NMGR0032",38.5847853711568
"1","US1NJWR0030",38.6493807860321
"1","US1NYER0010",38.9254643564939
"1","US1WIRK0009",38.9290535935866
"1","US1MOCR0004",39.4319449001992
"1","US1RIKN0008",39.6794064220678
"1","US1ARLG0008",39.7086902518607
"1","US1COAR0108",39.998616353701
"1","US1OHFR0048",40.0281101270014
"1","US1SDFR0003",40.2426362195242
"1","US1CTHR0050",40.8815955431784
"1","US1COLR0857",41.362707336996
"1","US1ARPS0032",41.6698122888534
"1","US1SCHR0053",41.7376342877207
"1","US1TXBRS019",42.2178780375774
"1","CA00709LNR0",42.3856904901445
"1","US1RIKN0019",42.8116978300666
"1","US1MOGR0054",42.8502703916741
"1","US1GAFR0003",42.8998652691207
"1","US1COGR0028",42.962952148972
"1","CA00116CNR6",43.2302032717093
"1","US1COLR0205",43.2522975962829
"1","US1AZMR0007",43.2794022138369
"1","US1MABR0005",43.5921741075257
"1","US1NCFR0037",43.6318014641905
"1","US1COAR0124",43.647792574196
"1","US1COLR0783",43.7676734239557
"1","US1NVPR0002",43.7900936442796
"1","US1OHFR0025",43.8141376107813
"1","CA00810MRBE",43.835909726474
"1","US1ORLA0014",44.0179258752379
"1","US1ORCC0017",44.0226293634189
"1","US1GAER0002",44.1394367800301
"1","US1ORDS0041",44.2042647620948
"1","US1NCHR0037",44.3318468367357
"1","US1CARV0072",44.3647585991604
"1","US1NYER0040",44.3655736236278
"1","US1WAGR0005",44.5093180874223
"1","US1ORLA0029",44.571752379094
"1","US1CORT0004",44.8517263233997
"1","US1SCRC0059",45.0633810473166
"1","US1GARC0008",45.2982745794994
"1","US1COLR0325",45.5312671868882
"1","US1ORWS0113",45.8036651907544
"1","US1COLR0661",45.9083243409866
"1","US1ORWS0092",45.9659637767689
"1","US1ORMT0068",46.0260259628306
"1","US1ORLA0022",46.0614987602664
"1","US1ARCH0001",46.0956793110206
"1","US1TNSR0015",46.1123265965748
"1","US1SDFR0004",46.181982659471
"1","US1ORLA0098",46.1904346658018
"1","US1COLR0741",46.3288345721403
"1","US1MDHR0019",47.1611034628052
"1","US1CORG0032",47.3006802288678
"1","US1ARST0018",47.3404106741224
"1","US1ILBR0001",47.3750928439093
"1","US1KSRA0008",47.4974773493806
"1","US1COGR0074",47.8145696474241
"1","US1INMR0017",48.5829838329425
"1","US1TXCRK001",48.7524470588215
"1","US1ARPS0027",48.793979728235
