"","x"
"","CA00101C0ME"
"alpha","0"
"beta","0"
"gamma","0.509632375183"
"","388.220015550252"
"","56.4850639938274"
"","23.6128498128671"
"","17.2674330825854"
"","10.8237072089907"
"","18.1527643744383"
"","10.2815838264839"
"","6.64192423545303"
"","20.4295353295809"
"","25.6735350363893"
"","63.6963046524115"
"","51.4384625700304"
"","42.0072108265303"
"","306.128179763241"
