"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","DAPR","DAPR_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","WESD","WESD_ATTRIBUTES","WESF","WESF_ATTRIBUTES"
"US1COPW0026","2011-12-12","37.729797","-102.426827","1249.1","TWO BUTTES 11.8 N, CO US","    0",",,N","    0",",,N",,,,,,,,,,
"US1COPW0026","2011-12-13","37.729797","-102.426827","1249.1","TWO BUTTES 11.8 N, CO US","   10",",,N",,,,,,,,,,,,
"US1COPW0026","2011-12-14","37.729797","-102.426827","1249.1","TWO BUTTES 11.8 N, CO US","   15",",,N",,,,,,,,,,,,
"US1COPW0026","2011-12-15","37.729797","-102.426827","1249.1","TWO BUTTES 11.8 N, CO US","    0",",,N","    0",",,N",,,,,,,,,,
"US1COPW0026","2011-12-16","37.729797","-102.426827","1249.1","TWO BUTTES 11.8 N, CO US","    0",",,N","    0",",,N",,,,,,,,,,
"US1COPW0026","2011-12-17","37.729797","-102.426827","1249.1","TWO BUTTES 11.8 N, CO US","    0",",,N","    0",",,N",,,,,,,,,,
"US1COPW0026","2011-12-18","37.729797","-102.426827","1249.1","TWO BUTTES 11.8 N, CO US","    0",",,N","    0",",,N",,,,,,,,,,
"US1COPW0026","2011-12-19","37.729797","-102.426827","1249.1","TWO BUTTES 11.8 N, CO US","    0",",,N","    0",",,N",,,,,,,,,,
"US1COPW0026","2011-12-21","37.729797","-102.426827","1249.1","TWO BUTTES 11.8 N, CO US",,,,,"  203",",,N","    2",",L,N",,,,,,
"US1COPW0026","2011-12-22","37.729797","-102.426827","1249.1","TWO BUTTES 11.8 N, CO US","    0",",,N","    0",",,N",,,,,,,,,,
"US1COPW0026","2011-12-23","37.729797","-102.426827","1249.1","TWO BUTTES 11.8 N, CO US","    0",",,N","    0",",,N",,,,,,,,,,
"US1COPW0026","2011-12-24","37.729797","-102.426827","1249.1","TWO BUTTES 11.8 N, CO US","    0",",,N","    0",",,N",,,,,,,,,,
"US1COPW0026","2011-12-25","37.729797","-102.426827","1249.1","TWO BUTTES 11.8 N, CO US","    0",",,N","    0",",,N",,,,,,,,,,
"US1COPW0026","2011-12-26","37.729797","-102.426827","1249.1","TWO BUTTES 11.8 N, CO US","    0",",,N","    0",",,N",,,,,,,,,,
"US1COPW0026","2011-12-27","37.729797","-102.426827","1249.1","TWO BUTTES 11.8 N, CO US","    0",",,N","    0",",,N",,,,,,,,,,
"US1COPW0026","2011-12-28","37.729797","-102.426827","1249.1","TWO BUTTES 11.8 N, CO US","    0",",,N","    0",",,N",,,,,,,,,,
"US1COPW0026","2011-12-29","37.729797","-102.426827","1249.1","TWO BUTTES 11.8 N, CO US","    0",",,N","    0",",,N",,,,,,,,,,
"US1COPW0026","2011-12-30","37.729797","-102.426827","1249.1","TWO BUTTES 11.8 N, CO US","    0",",,N","    0",",,N",,,,,,,,,,
"US1COPW0026","2011-12-31","37.729797","-102.426827","1249.1","TWO BUTTES 11.8 N, CO US","    0",",,N","    0",",,N",,,,,,,,,,
"US1COPW0026","2012-01-01","37.729797","-102.426827","1249.1","TWO BUTTES 11.8 N, CO US","    0",",,N","    0",",,N",,,,,,,,,,
"US1COPW0026","2012-01-02","37.729797","-102.426827","1249.1","TWO BUTTES 11.8 N, CO US","    0",",,N","    0",",,N",,,,,,,,,,
"US1COPW0026","2012-01-03","37.729797","-102.426827","1249.1","TWO BUTTES 11.8 N, CO US","    0",",,N","    0",",,N",,,,,,,,,,
"US1COPW0026","2012-01-04","37.729797","-102.426827","1249.1","TWO BUTTES 11.8 N, CO US","    0",",,N","    0",",,N",,,,,,,,,,
"US1COPW0026","2012-01-05","37.729797","-102.426827","1249.1","TWO BUTTES 11.8 N, CO US","    0",",,N","    0",",,N",,,,,,,,,,
"US1COPW0026","2012-01-06","37.729797","-102.426827","1249.1","TWO BUTTES 11.8 N, CO US","    0",",,N","    0",",,N",,,,,,,,,,
"US1COPW0026","2012-01-07","37.729797","-102.426827","1249.1","TWO BUTTES 11.8 N, CO US","    0",",,N","    0",",,N",,,,,,,,,,
"US1COPW0026","2012-01-08","37.729797","-102.426827","1249.1","TWO BUTTES 11.8 N, CO US","    0",",,N","    0",",,N",,,,,,,,,,
"US1COPW0026","2012-01-09","37.729797","-102.426827","1249.1","TWO BUTTES 11.8 N, CO US","    0",",,N","    0",",,N",,,,,,,,,,
"US1COPW0026","2012-01-10","37.729797","-102.426827","1249.1","TWO BUTTES 11.8 N, CO US","    0",",,N","    0",",,N",,,,,,,,,,
"US1COPW0026","2012-01-11","37.729797","-102.426827","1249.1","TWO BUTTES 11.8 N, CO US","    0",",,N","    0",",,N",,,,,,,,,,
"US1COPW0026","2012-01-12","37.729797","-102.426827","1249.1","TWO BUTTES 11.8 N, CO US","    0",",,N","    0",",,N",,,,,,,,,"    0",",,N"
"US1COPW0026","2012-01-13","37.729797","-102.426827","1249.1","TWO BUTTES 11.8 N, CO US","    0",",,N","    0",",,N",,,,,,,,,,
"US1COPW0026","2012-01-14","37.729797","-102.426827","1249.1","TWO BUTTES 11.8 N, CO US","    0",",,N","    0",",,N",,,,,,,,,,
"US1COPW0026","2012-01-15","37.729797","-102.426827","1249.1","TWO BUTTES 11.8 N, CO US","    0",",,N","    0",",,N",,,,,,,,,,
"US1COPW0026","2012-01-16","37.729797","-102.426827","1249.1","TWO BUTTES 11.8 N, CO US","    0",",,N","    0",",,N",,,,,,,,,,
"US1COPW0026","2012-01-17","37.729797","-102.426827","1249.1","TWO BUTTES 11.8 N, CO US","    0",",,N","    0",",,N",,,,,,,,,,
"US1COPW0026","2012-01-18","37.729797","-102.426827","1249.1","TWO BUTTES 11.8 N, CO US","    0",",,N","    0",",,N",,,,,,,,,,
"US1COPW0026","2012-01-19","37.729797","-102.426827","1249.1","TWO BUTTES 11.8 N, CO US","    0",",,N","    0",",,N",,,,,,,,,,
"US1COPW0026","2012-01-20","37.729797","-102.426827","1249.1","TWO BUTTES 11.8 N, CO US","    0",",,N","    0",",,N",,,,,,,,,,
"US1COPW0026","2012-01-21","37.729797","-102.426827","1249.1","TWO BUTTES 11.8 N, CO US","    0",",,N","    0",",,N",,,,,,,,,,
"US1COPW0026","2012-01-22","37.729797","-102.426827","1249.1","TWO BUTTES 11.8 N, CO US","    0",",,N","    0",",,N",,,,,,,,,,
"US1COPW0026","2012-01-23","37.729797","-102.426827","1249.1","TWO BUTTES 11.8 N, CO US","    0",",,N","    0",",,N",,,,,,,,,,
"US1COPW0026","2012-01-24","37.729797","-102.426827","1249.1","TWO BUTTES 11.8 N, CO US","    0",",,N","    0",",,N",,,,,,,,,,
"US1COPW0026","2012-01-25","37.729797","-102.426827","1249.1","TWO BUTTES 11.8 N, CO US","    0",",,N","    0",",,N",,,,,,,,,,
"US1COPW0026","2012-01-26","37.729797","-102.426827","1249.1","TWO BUTTES 11.8 N, CO US","    0",",,N","    0",",,N",,,,,,,,,,
"US1COPW0026","2012-01-27","37.729797","-102.426827","1249.1","TWO BUTTES 11.8 N, CO US","    0",",,N","    0",",,N",,,,,,,,,,
"US1COPW0026","2012-01-28","37.729797","-102.426827","1249.1","TWO BUTTES 11.8 N, CO US","    0",",,N","    0",",,N",,,,,,,,,,
"US1COPW0026","2012-01-29","37.729797","-102.426827","1249.1","TWO BUTTES 11.8 N, CO US","    0",",,N","    0",",,N",,,,,,,,,,
"US1COPW0026","2012-01-30","37.729797","-102.426827","1249.1","TWO BUTTES 11.8 N, CO US","    0",",,N","    0",",,N",,,,,,,,,,
"US1COPW0026","2012-01-31","37.729797","-102.426827","1249.1","TWO BUTTES 11.8 N, CO US","    0",",,N","    0",",,N",,,,,,,,,,
"US1COPW0026","2012-02-01","37.729797","-102.426827","1249.1","TWO BUTTES 11.8 N, CO US","    0",",,N","    0",",,N",,,,,,,,,,
"US1COPW0026","2012-02-02","37.729797","-102.426827","1249.1","TWO BUTTES 11.8 N, CO US","    0",",,N","    0",",,N",,,,,,,,,,
"US1COPW0026","2012-02-03","37.729797","-102.426827","1249.1","TWO BUTTES 11.8 N, CO US","   84",",,N",,,,,,,,,,,,
"US1COPW0026","2012-02-04","37.729797","-102.426827","1249.1","TWO BUTTES 11.8 N, CO US","    3",",,N","    0",",,N","    0",",,N",,,,,,,,
"US1COPW0026","2012-02-05","37.729797","-102.426827","1249.1","TWO BUTTES 11.8 N, CO US","    0",",,N","    0",",,N",,,,,,,,,,
"US1COPW0026","2012-02-06","37.729797","-102.426827","1249.1","TWO BUTTES 11.8 N, CO US","    0",",,N","    0",",,N",,,,,,,,,,
"US1COPW0026","2012-02-07","37.729797","-102.426827","1249.1","TWO BUTTES 11.8 N, CO US","    0",",,N","    0",",,N",,,,,,,,,,
"US1COPW0026","2012-02-08","37.729797","-102.426827","1249.1","TWO BUTTES 11.8 N, CO US","    0",",,N","    0",",,N",,,,,,,,,,
"US1COPW0026","2012-02-09","37.729797","-102.426827","1249.1","TWO BUTTES 11.8 N, CO US","    0",",,N","    0",",,N",,,,,,,,,,
"US1COPW0026","2012-02-10","37.729797","-102.426827","1249.1","TWO BUTTES 11.8 N, CO US","    0",",,N","    0",",,N",,,,,,,,,,
"US1COPW0026","2012-02-11","37.729797","-102.426827","1249.1","TWO BUTTES 11.8 N, CO US","    0",",,N","    0",",,N",,,,,,,,,,
"US1COPW0026","2012-02-12","37.729797","-102.426827","1249.1","TWO BUTTES 11.8 N, CO US","    0",",,N","    0",",,N","    0",",,N",,,,,,,,
"US1COPW0026","2012-02-13","37.729797","-102.426827","1249.1","TWO BUTTES 11.8 N, CO US","    0",",,N","    0",",,N",,,,,,,,,,
"US1COPW0026","2012-02-14","37.729797","-102.426827","1249.1","TWO BUTTES 11.8 N, CO US","    0",",,N","    0",",,N",,,,,,,,,,
"US1COPW0026","2012-02-15","37.729797","-102.426827","1249.1","TWO BUTTES 11.8 N, CO US","    0",",,N","    0",",,N",,,,,,,,,,
"US1COPW0026","2012-02-16","37.729797","-102.426827","1249.1","TWO BUTTES 11.8 N, CO US","    0",",,N","    0",",,N",,,,,,,,,,
"US1COPW0026","2012-02-17","37.729797","-102.426827","1249.1","TWO BUTTES 11.8 N, CO US","    0",",,N","    0",",,N",,,,,,,,,,
"US1COPW0026","2012-02-18","37.729797","-102.426827","1249.1","TWO BUTTES 11.8 N, CO US","    0",",,N","    0",",,N",,,,,,,,,,
"US1COPW0026","2012-02-19","37.729797","-102.426827","1249.1","TWO BUTTES 11.8 N, CO US","    0",",,N","    0",",,N",,,,,,,,,,
"US1COPW0026","2012-02-20","37.729797","-102.426827","1249.1","TWO BUTTES 11.8 N, CO US","    0",",,N","    0",",,N",,,,,,,,,,
"US1COPW0026","2012-02-21","37.729797","-102.426827","1249.1","TWO BUTTES 11.8 N, CO US","    3",",,N","   13",",,N","   13",",,N",,,,,"    3",",,N","    3",",,N"
"US1COPW0026","2012-02-22","37.729797","-102.426827","1249.1","TWO BUTTES 11.8 N, CO US","    0",",,N","    0",",,N",,,,,,,,,,
"US1COPW0026","2012-02-23","37.729797","-102.426827","1249.1","TWO BUTTES 11.8 N, CO US","    0",",,N","    0",",,N",,,,,,,,,,
"US1COPW0026","2012-02-24","37.729797","-102.426827","1249.1","TWO BUTTES 11.8 N, CO US","    0",",,N","    0",",,N",,,,,,,,,,
"US1COPW0026","2012-02-25","37.729797","-102.426827","1249.1","TWO BUTTES 11.8 N, CO US","    0",",,N","    0",",,N",,,,,,,,,,
"US1COPW0026","2012-02-26","37.729797","-102.426827","1249.1","TWO BUTTES 11.8 N, CO US","    0",",,N","    0",",,N",,,,,,,,,,
"US1COPW0026","2012-02-27","37.729797","-102.426827","1249.1","TWO BUTTES 11.8 N, CO US","    0",",,N","    0",",,N",,,,,,,,,,
"US1COPW0026","2012-02-28","37.729797","-102.426827","1249.1","TWO BUTTES 11.8 N, CO US","    0",",,N","    0",",,N",,,,,,,,,,
"US1COPW0026","2012-02-29","37.729797","-102.426827","1249.1","TWO BUTTES 11.8 N, CO US","    0",",,N","    0",",,N",,,,,,,,,,
"US1COPW0026","2012-03-01","37.729797","-102.426827","1249.1","TWO BUTTES 11.8 N, CO US","    0",",,N","    0",",,N",,,,,,,,,,
"US1COPW0026","2012-03-02","37.729797","-102.426827","1249.1","TWO BUTTES 11.8 N, CO US","    3",",,N","    5",",,N","    5",",,N",,,,,,,,
"US1COPW0026","2012-03-03","37.729797","-102.426827","1249.1","TWO BUTTES 11.8 N, CO US","    0",",,N","    0",",,N",,,,,,,,,,
"US1COPW0026","2012-03-04","37.729797","-102.426827","1249.1","TWO BUTTES 11.8 N, CO US","    0",",,N","    0",",,N",,,,,,,,,,
"US1COPW0026","2012-03-05","37.729797","-102.426827","1249.1","TWO BUTTES 11.8 N, CO US","    0",",,N","    0",",,N",,,,,,,,,,
"US1COPW0026","2012-03-06","37.729797","-102.426827","1249.1","TWO BUTTES 11.8 N, CO US","    0",",,N","    0",",,N",,,,,,,,,,
"US1COPW0026","2012-03-07","37.729797","-102.426827","1249.1","TWO BUTTES 11.8 N, CO US","    0",",,N","    0",",,N",,,,,,,,,,
