"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","DAPR","DAPR_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT11","WT11_ATTRIBUTES"
"USC00297191","1986-12-01","34.13333","-108.51667","2334.8","QUEMADO LAKE, NM US","    0","P,,0,1800","    0","P,,0","    0",",,0","   67",",,0"," -111",",,0",,,,,"  -11",",,0,1800",,,,,,,,,,,,
"USC00297191","1986-12-02","34.13333","-108.51667","2334.8","QUEMADO LAKE, NM US","    0","P,,0,1800","    0","P,,0","    0","P,,0","  133",",,0"," -122",",,0",,,,,"  -11",",,0,1800",,,,,,,,,,,,
"USC00297191","1986-12-03","34.13333","-108.51667","2334.8","QUEMADO LAKE, NM US","    0","P,,0,1800","    0","P,,0","    0","P,,0","  128",",,0"," -122",",,0",,,,,"  -11",",,0,1800",,,,,,,,,,,,
"USC00297191","1986-12-04","34.13333","-108.51667","2334.8","QUEMADO LAKE, NM US","    0","P,,0,1800","    0","P,,0","    0","P,,0","  117",",,0","  -83",",,0",,,,,"   11",",,0,1800",,,,,,,,,,,,
"USC00297191","1986-12-05","34.13333","-108.51667","2334.8","QUEMADO LAKE, NM US","    0","P,,0,1800","    0","P,,0","    0","P,,0","  117",",,0","  -22",",,0",,,,,"   61",",,0,1800",,,,,,,,,,,,
"USC00297191","1986-12-06","34.13333","-108.51667","2334.8","QUEMADO LAKE, NM US","    0","T,,0,1800","    0","P,,0","    0","P,,0","   61",",,0","    6",",,0",,,,,"   22",",,0,1800",,,,,,,,,,,,
"USC00297191","1986-12-07","34.13333","-108.51667","2334.8","QUEMADO LAKE, NM US","   64",",,0,1800","   23",",,0","   25",",,0","   33",",,0","  -11",",,0",,,,,"  -11",",,0,1800",,,,,,,,,,,,
"USC00297191","1986-12-08","34.13333","-108.51667","2334.8","QUEMADO LAKE, NM US","   33",",,0,1800","   46",",,0","   51",",,0","    0",",,0","  -72",",,0",,,,,"  -28",",,0,1800",,,,,,,,,,,,
"USC00297191","1986-12-09","34.13333","-108.51667","2334.8","QUEMADO LAKE, NM US","    0","T,,0,1800","    0","T,,0","   51",",,0","   17",",,0","  -50",",,0",,,,,"  -39",",,0,1800",,,,,,,,,,,,
"USC00297191","1986-12-10","34.13333","-108.51667","2334.8","QUEMADO LAKE, NM US","   58",",,0,1800","  127",",,0","   76",",,0","  -11",",,0"," -100",",,0",,,,,"  -94",",,0,1800",,,,,,,,,,,,
"USC00297191","1986-12-11","34.13333","-108.51667","2334.8","QUEMADO LAKE, NM US","    0",",,0,1800","    0","P,,0","   76",",,0","    6",",,0"," -228",",,0",,,,,"  -78",",,0,1800",,,,,,,,,,,,
"USC00297191","1986-12-12","34.13333","-108.51667","2334.8","QUEMADO LAKE, NM US","    0",",,0,1800","    0","P,,0","   76",",,0","   83",",,0"," -156",",,0",,,,,"  -33",",,0,1800",,,,,,,,,,,,
"USC00297191","1986-12-13","34.13333","-108.51667","2334.8","QUEMADO LAKE, NM US","    0",",,0,1800","    0","P,,0","   76",",,0","  106",",,0"," -139",",,0",,,,,"  -39",",,0,1800",,,,,,,,,,,,
"USC00297191","1986-12-14","34.13333","-108.51667","2334.8","QUEMADO LAKE, NM US","    0",",,0,1800","    0","P,,0","   51",",,0","  106",",,0"," -133",",,0",,,,,"  -28",",,0,1800",,,,,,,,,,,,
"USC00297191","1986-12-15","34.13333","-108.51667","2334.8","QUEMADO LAKE, NM US","    0",",,0,1800","    0","P,,0","   25",",,0","   94",",,0","  -83",",,0",,,,,"    6",",,0,1800",,,,,,,,,,,,
"USC00297191","1986-12-16","34.13333","-108.51667","2334.8","QUEMADO LAKE, NM US","    3",",,0,1800","    0","T,,0","    0",",,0","   56",",,0","  -17",",,0",,,,,"   17",",,0,1800",,,,,,,,,,,,
"USC00297191","1986-12-17","34.13333","-108.51667","2334.8","QUEMADO LAKE, NM US","    0","T,,0,1800","    0","P,,0","    0",",,0","   44",",,0","  -17",",,0",,,,,"   11",",,0,1800",,,,,,,,,,,,
"USC00297191","1986-12-18","34.13333","-108.51667","2334.8","QUEMADO LAKE, NM US","   58",",,0,1800","   48",",,0","   25",",,0","   17",",,0","  -50",",,0",,,,,"  -11",",,0,1800",,,,,,,,,,,,
