"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","DAPR","DAPR_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT09","WT09_ATTRIBUTES","WT11","WT11_ATTRIBUTES"
"USC00293234","1958-12-01","35.35","-107.66667","2196.1","SAN MATEO, NM US","    0",",,0,1800","    0",",,0","    0",",,0","  128",",,0","  -89",",,0",,,,,"   11",",,0,1800",,,,,,,,,,
"USC00293234","1958-12-02","35.35","-107.66667","2196.1","SAN MATEO, NM US","    0",",,0,1800","    0",",,0","    0",",,0","  111",",,0","  -67",",,0",,,,,"   50",",,0,1800",,,,,,,,,,
"USC00293234","1958-12-03","35.35","-107.66667","2196.1","SAN MATEO, NM US","    0",",,0,1800","    0",",,0","    0",",,0","  156",",,0","  -61",",,0",,,,,"   56",",,0,1800",,,,,,,,,,
"USC00293234","1958-12-04","35.35","-107.66667","2196.1","SAN MATEO, NM US","    0",",,0,1800","    0",",,0","    0",",,0","  172",",,0","  -44",",,0",,,,,"   61",",,0,1800",,,,,,,,,,
"USC00293234","1958-12-05","35.35","-107.66667","2196.1","SAN MATEO, NM US","    0",",,0,1800","    0",",,0","    0",",,0","  172",",,0","  -44",",,0",,,,,"   56",",,0,1800",,,,,,,,,,
"USC00293234","1958-12-06","35.35","-107.66667","2196.1","SAN MATEO, NM US","    0",",,0,1800","    0",",,0","    0",",,0","  172",",,0","  -50",",,0",,,,,"   50",",,0,1800",,,,,,,,,,
"USC00293234","1958-12-07","35.35","-107.66667","2196.1","SAN MATEO, NM US","    0",",,0,1800","    0",",,0","    0",",,0","  167",",,0","  -56",",,0",,,,,"   61",",,0,1800",,,,,,,,,,
"USC00293234","1958-12-08","35.35","-107.66667","2196.1","SAN MATEO, NM US","    0",",,0,1800","    0",",,0","    0",",,0","  183",",,0","  -33",",,0",,,,,"   89",",,0,1800",,,,,,,,,,
"USC00293234","1958-12-09","35.35","-107.66667","2196.1","SAN MATEO, NM US","    0",",,0,1800","    0",",,0","    0",",,0","  150",",,0","  -61",",,0",,,,,"   78",",,0,1800",,,,,,,,,,
"USC00293234","1958-12-10","35.35","-107.66667","2196.1","SAN MATEO, NM US","    0",",,0,1800","    0",",,0","    0",",,0","  150",",,0","  -78",",,0",,,,,"   67",",,0,1800",,,,,,,,,,
"USC00293234","1958-12-11","35.35","-107.66667","2196.1","SAN MATEO, NM US","    0",",,0,1800","    0",",,0","    0",",,0","  150",",,0","  -67",",,0",,,,,"   61",",,0,1800",,,,,,,,,,
"USC00293234","1958-12-12","35.35","-107.66667","2196.1","SAN MATEO, NM US","    0",",,0,1800","    0",",,0","    0",",,0","  139",",,0","  -67",",,0",,,,,"   61",",,0,1800",,,,,,,,,,
"USC00293234","1958-12-13","35.35","-107.66667","2196.1","SAN MATEO, NM US","    0",",,0,1800","    0",",,0","    0",",,0","   83",",,0","  -89",",,0",,,,,"   22",",,0,1800",,,,,,,,,,
"USC00293234","1958-12-14","35.35","-107.66667","2196.1","SAN MATEO, NM US","    0",",,0,1800","    0",",,0","    0",",,0","   50",",,0"," -117",",,0",,,,,"  -33",",,0,1800",,,,,,,,,,
"USC00293234","1958-12-15","35.35","-107.66667","2196.1","SAN MATEO, NM US","    0",",,0,1800","    0",",,0","    0",",,0","  100",",,0"," -128",",,0",,,,,"  -11",",,0,1800",,,,,,,,,,
"USC00293234","1958-12-16","35.35","-107.66667","2196.1","SAN MATEO, NM US","    0",",,0,1800","    0",",,0","    0",",,0","  144",",,0"," -122",",,0",,,,,"   -6",",,0,1800",,,,,,,,,,
"USC00293234","1958-12-17","35.35","-107.66667","2196.1","SAN MATEO, NM US","    0",",,0,1800","    0",",,0","    0",",,0","  144",",,0"," -122",",,0",,,,,"   -6",",,0,1800",,,,,,,,,,
"USC00293234","1958-12-18","35.35","-107.66667","2196.1","SAN MATEO, NM US","    0",",,0,1800","    0",",,0","    0",",,0","  139",",,0"," -111",",,0",,,,,"   22",",,0,1800",,,,,,,,,,
"USC00293234","1958-12-19","35.35","-107.66667","2196.1","SAN MATEO, NM US","    0",",,0,1800","    0",",,0","    0",",,0","  133",",,0","  -67",",,0",,,,,"   44",",,0,1800",,,,,,,,,,
"USC00293234","1958-12-20","35.35","-107.66667","2196.1","SAN MATEO, NM US","    0",",,0,1800","    0",",,0","    0",",,0","  144",",,0"," -100",",,0",,,,,"   44",",,0,1800",,,,,,,,,,
"USC00293234","1958-12-21","35.35","-107.66667","2196.1","SAN MATEO, NM US","    0",",,0,1800","    0",",,0","    0",",,0","  144",",,0"," -106",",,0",,,,,"   33",",,0,1800",,,,,,,,,,
"USC00293234","1958-12-22","35.35","-107.66667","2196.1","SAN MATEO, NM US","    0",",,0,1800","    0",",,0","    0",",,0","  122",",,0","  -89",",,0",,,,,"   56",",,0,1800",,,,,,,,,,
"USC00293234","1958-12-23","35.35","-107.66667","2196.1","SAN MATEO, NM US","    0",",,0,1800","    0",",,0","    0",",,0","  100",",,0","  -78",",,0",,,,,"   44",",,0,1800",,,,,,,,,,
"USC00293234","1958-12-24","35.35","-107.66667","2196.1","SAN MATEO, NM US","    0",",,0,1800","    0",",,0","    0",",,0","  100",",,0"," -106",",,0",,,,,"   44",",,0,1800",,,,,,,,,,
"USC00293234","1958-12-25","35.35","-107.66667","2196.1","SAN MATEO, NM US","    0",",,0,1800","    0",",,0","    0",",,0","  100",",,0","  -89",",,0",,,,,"   50",",,0,1800",,,,,,,,,,
"USC00293234","1958-12-26","35.35","-107.66667","2196.1","SAN MATEO, NM US","    0",",,0,1800","    0",",,0","    0",",,0","  100",",,0"," -111",",,0",,,,,"   44",",,0,1800",,,,,,,,,,
"USC00293234","1958-12-27","35.35","-107.66667","2196.1","SAN MATEO, NM US","    0",",,0,1800","    0",",,0","    0",",,0","  122",",,0"," -128",",,0",,,,,"   39",",,0,1800",,,,,,,,,,
"USC00293234","1958-12-28","35.35","-107.66667","2196.1","SAN MATEO, NM US","   15",",,0,1800",,,,,"   78",",,0"," -111",",,0",,,,,"   22",",,0,1800",,,,,,,,,,
"USC00293234","1958-12-29","35.35","-107.66667","2196.1","SAN MATEO, NM US","   51",",,0,1800",,,,,"   22",",,0"," -139",",,0",,,,,"  -89",",,0,1800",,,,,,,,,,
"USC00293234","1958-12-30","35.35","-107.66667","2196.1","SAN MATEO, NM US","    0",",,0,1800","    0",",,0",,,"   22",",,0"," -211",",,0",,,,," -111",",,0,1800",,,,,,,,,,
"USC00293234","1958-12-31","35.35","-107.66667","2196.1","SAN MATEO, NM US","    0",",,0,1800","    0",",,0",,,"    6",",,0"," -194",",,0",,,,,"  -78",",,0,1800",,,,,,,,,,
"USC00293234","1959-01-01","35.35","-107.66667","2196.1","SAN MATEO, NM US","    0",",,0,1800","    0",",,0","    0",",,0","  144",",,0"," -150",",,0",,,,,"   -6",",,0,1800",,,,,,,,,,
"USC00293234","1959-01-02","35.35","-107.66667","2196.1","SAN MATEO, NM US","    0",",,0,1800","    0",",,0","    0",",,0","  133",",,0"," -133",",,0",,,,,"  -11",",,0,1800",,,,,,,,,,
"USC00293234","1959-01-03","35.35","-107.66667","2196.1","SAN MATEO, NM US","    0",",,0,1800","    0",",,0","    0",",,0","  128",",,0"," -150",",,0",,,,,"    0",",,0,1800",,,,,,,,,,
"USC00293234","1959-01-04","35.35","-107.66667","2196.1","SAN MATEO, NM US","    0",",,0,1800","    0",",,0","    0",",,0","  111",",,0"," -161",",,0",,,,,"    0",",,0,1800",,,,,,,,,,
"USC00293234","1959-01-05","35.35","-107.66667","2196.1","SAN MATEO, NM US","    0",",,0,1800","    0",",,0","    0",",,0","   94",",,0"," -211",",,0",,,,,"   11",",,0,1800",,,,,,,,,,
"USC00293234","1959-01-06","35.35","-107.66667","2196.1","SAN MATEO, NM US","    0",",,0,1800","    0",",,0","    0",",,0","   83",",,0"," -106",",,0",,,,,"   17",",,0,1800",,,,,,,,,,
"USC00293234","1959-01-07","35.35","-107.66667","2196.1","SAN MATEO, NM US","    0",",,0,1800","    0",",,0","    0",",,0","   44",",,0","  -72",",,0",,,,,"    0",",,0,1800",,,,,,,,,,
