"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","MDSF","MDSF_ATTRIBUTES"
"CA004013740","1984-06-01","51.5","-106.2667","616.0","KENASTON, SK CA","    0",",,C","    0",",,C",,,,,,
"CA004013740","1984-06-02","51.5","-106.2667","616.0","KENASTON, SK CA","    0",",,C","    0",",,C",,,,,,
"CA004013740","1984-06-03","51.5","-106.2667","616.0","KENASTON, SK CA","    0",",,C","    0",",,C",,,,,,
"CA004013740","1984-06-04","51.5","-106.2667","616.0","KENASTON, SK CA","    0",",,C","    0",",,C",,,,,,
"CA004013740","1984-06-05","51.5","-106.2667","616.0","KENASTON, SK CA","    0",",,C","    0",",,C",,,,,,
"CA004013740","1984-06-06","51.5","-106.2667","616.0","KENASTON, SK CA","   44",",,C","    0",",,C",,,,,,
"CA004013740","1984-06-07","51.5","-106.2667","616.0","KENASTON, SK CA","   20",",,C","    0",",,C",,,,,,
"CA004013740","1984-06-08","51.5","-106.2667","616.0","KENASTON, SK CA","   14",",,C","    0",",,C",,,,,,
"CA004013740","1984-06-09","51.5","-106.2667","616.0","KENASTON, SK CA","    0",",,C","    0",",,C",,,,,,
"CA004013740","1984-06-10","51.5","-106.2667","616.0","KENASTON, SK CA","    0",",,C","    0",",,C",,,,,,
"CA004013740","1984-06-11","51.5","-106.2667","616.0","KENASTON, SK CA","   14",",,C","    0",",,C",,,,,,
"CA004013740","1984-06-12","51.5","-106.2667","616.0","KENASTON, SK CA","    0",",,C","    0",",,C",,,,,,
"CA004013740","1984-06-13","51.5","-106.2667","616.0","KENASTON, SK CA","    0",",,C","    0",",,C",,,,,,
"CA004013740","1984-06-14","51.5","-106.2667","616.0","KENASTON, SK CA","    0",",,C","    0",",,C",,,,,,
"CA004013740","1984-06-15","51.5","-106.2667","616.0","KENASTON, SK CA","    0",",,C","    0",",,C",,,,,,
"CA004013740","1984-06-16","51.5","-106.2667","616.0","KENASTON, SK CA","  110",",,C","    0",",,C",,,,,,
"CA004013740","1984-06-17","51.5","-106.2667","616.0","KENASTON, SK CA","    0",",,C","    0",",,C",,,,,,
"CA004013740","1984-06-18","51.5","-106.2667","616.0","KENASTON, SK CA","    0",",,C","    0",",,C",,,,,,
"CA004013740","1984-06-19","51.5","-106.2667","616.0","KENASTON, SK CA","    0",",,C","    0",",,C",,,,,,
"CA004013740","1984-06-20","51.5","-106.2667","616.0","KENASTON, SK CA","  140",",,C","    0",",,C",,,,,,
"CA004013740","1984-06-21","51.5","-106.2667","616.0","KENASTON, SK CA","  100",",,C","    0",",,C",,,,,,
